Model,Accuracy,F1,AUC,CV_mean,CV_std,Time_s
SVM (RBF),0.9923664122137404,0.9923704254233743,0.9998650545179748,0.9897906025518406,0.008898046772202748,0.10537099838256836
Extra Trees,0.989821882951654,0.9897989828780563,0.9986775342761524,0.9751266762988134,0.01501491748723157,0.07512187957763672
Gradient Boosting,0.9694656488549618,0.9694322008072127,0.9928478894526611,0.9476954070938726,0.012394180896451586,0.4330732822418213
Random Forest,0.9669211195928753,0.9667857025255248,0.9959786246356472,0.9502411428338862,0.01175165111248977,0.11014819145202637
K-Nearest Neighbors,0.9312977099236641,0.9312605858417311,0.9855338443268918,0.9247390163000346,0.021169838652332598,0.0027756690979003906
Logistic Regression,0.9185750636132316,0.9182929987490975,0.9682608226276584,0.9330477605258338,0.015439697518703265,0.012912988662719727
